Country name,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank
Bulgaria,Central and Eastern Europe,5.46610021591187,24021.03,0.918244659900665,66.4997711181641,0.800536453723908,-0.0568269826471806,0.910979747772217,12.46,19.86,5.59,38.21,74.11,41.3
Nepal,South Asia,5.36030006408691,3850.71,0.747856676578522,61.8470001220703,0.807949483394623,0.14593517780304,0.783375918865204,0.62,1.1,0.25,36.01,63.87,32.8
Armenia,Commonwealth of Independent States,5.34170007705689,14983.62,0.790231049060822,67.7889709472656,0.795605063438416,-0.155314967036247,0.705433905124664,4.67,7.7,2.14,22.79,73.48,29.9
Tajikistan,Commonwealth of Independent States,5.32980012893677,3776.43,0.835571944713593,62.225528717041,0.832002460956574,-0.0597585737705231,0.521577417850494,0.88,1.49,0.26,,72.46,34.0
Algeria,Middle East and North Africa,5.32910013198853,10940.36,0.855219006538391,66.5492324829102,0.571240425109863,-0.117374032735825,0.716906428337097,0.63,1.09,0.17,52.03,73.22,27.6
Hong Kong S.A.R. of China,East Asia,5.30849981307983,57898.29,0.816924750804901,77.2797775268555,0.687337458133698,-0.0258915331214666,0.384609669446945,,,,22.0,81.33,
Albania,Central and Eastern Europe,5.27729988098145,14292.25,0.717909157276154,69.1500701904297,0.794327795505524,-0.0069323987700045,0.878093600273132,6.82,11.02,2.53,42.53,73.95,33.2
Indonesia,Southeast Asia,5.27689981460571,11910.26,0.803985059261322,63.0477447509766,0.880113542079926,0.531386315822601,0.875990688800812,0.22,0.37,0.063,45.93,71.13,38.2
South Africa,Sub-Saharan Africa,5.2746000289917,13062.95,0.906631350517273,56.9889717102051,0.730076372623444,-0.086628682911396,0.902142584323883,9.45,15.74,3.46,76.86,59.9,63.0
Congo (Brazzaville),Sub-Saharan Africa,5.26709985733032,3278.7,0.604605257511139,56.8500442504883,0.730041801929474,-0.0043394467793405,0.739186108112335,,,,,54.1,48.9
North Macedonia,Central and Eastern Europe,5.25360012054443,16369.41,0.80474841594696,66.5003509521484,0.768963575363159,0.131239697337151,0.901715278625488,6.43,10.36,2.54,39.12,72.63,33.0
Venezuela,Latin America and Caribbean,5.21059989929199,251.32,0.838825404644013,64.0498352050781,0.658706963062286,0.128371238708496,0.811434984207153,3.56,5.72,1.51,83.76,69.61,44.8
Laos,Southeast Asia,5.11070013046265,7804.14,0.678946971893311,60.9455871582031,0.918855309486389,0.0909888669848442,0.702521860599518,12.08,19.11,5.09,,66.38,38.8
Georgia,Commonwealth of Independent States,5.10909986495972,15463.89,0.716171443462372,64.950065612793,0.786470174789429,-0.25427633523941,0.648892462253571,9.47,15.61,4.11,23.38,70.64,35.9
Guinea,Sub-Saharan Africa,5.07170009613037,2645.17,0.648632943630219,54.1853942871094,0.6587153673172,0.125200688838959,0.786968648433685,1.09,1.94,0.36,,48.65,33.7
Ukraine,Commonwealth of Independent States,5.07140016555786,11089.08,0.877526223659515,64.5501708984375,0.795423984527588,0.240311071276665,0.906738638877869,8.34,14.0,3.65,47.42,68.71,26.6
Ivory Coast,Sub-Saharan Africa,5.05270004272461,5304.9,0.572348356246948,55.9527130126953,0.732654750347138,0.0028205241542309,0.74585098028183,3.04,4.83,1.19,,51.81,41.5
Gabon,Sub-Saharan Africa,5.0346999168396,13869.98,0.745508670806885,58.2517890930176,0.641774117946625,-0.187012106180191,0.786314785480499,8.08,12.24,3.7,,56.07,38.0
Nigeria,Sub-Saharan Africa,4.98059988021851,4894.36,0.739812433719635,54.8908271789551,0.718404352664948,0.0728492066264153,0.911167204380035,6.19,9.84,2.49,64.06,50.12,35.1
Cameroon,Sub-Saharan Africa,4.97319984436035,3702.45,0.686231195926666,55.8471374511719,0.686278879642487,0.0147625766694546,0.846364498138428,5.52,8.76,2.32,65.24,51.02,46.6
Mozambique,Sub-Saharan Africa,4.9539999961853,1231.88,0.691816329956055,51.5302124023438,0.851470708847046,0.0466913282871246,0.660460293292999,2.69,4.53,1.04,,52.84,54.0
Iraq,Middle East and North Africa,4.94089984893799,8941.27,0.71845281124115,63.4147338867188,0.645771205425263,-0.0053996844217181,0.876264035701752,0.37,0.64,0.1,48.42,64.62,29.5
State of Palestine,Middle East and North Africa,4.90780019760132,6102.03,0.859494507312775,,0.694499790668488,-0.13236990571022,0.835794925689697,,,,43.74,,33.7
Morocco,Middle East and North Africa,4.9028000831604,7887.75,0.553110122680664,63.9007759094238,0.787282586097717,-0.230783730745316,0.810825347900391,0.49,0.87,0.13,48.66,71.17,39.5
Iran,Middle East and North Africa,4.87629985809326,14917.99,0.777547299861908,66.5999450683594,0.592562198638916,0.172932803630829,0.747031271457672,1.01,1.76,0.25,49.38,74.93,42.0
Senegal,Sub-Saharan Africa,4.85510015487671,3481.74,0.629286110401154,59.9989318847656,0.771607220172882,0.0107729323208332,0.845892131328583,0.73,1.3,0.22,,64.44,40.3
Mauritania,Sub-Saharan Africa,4.72389984130859,5382.53,0.64389306306839,60.4749984741211,0.622217357158661,-0.0127996131777763,0.657324194908142,0.0,0.0,0.0,,56.74,32.6
Burkina Faso,Sub-Saharan Africa,4.63759994506836,2136.05,0.663475155830383,55.4613075256348,0.696463406085968,0.0953673347830772,0.771366059780121,11.05,18.5,3.85,,58.72,35.3
Namibia,Sub-Saharan Africa,4.63079977035523,9142.96,0.786924660205841,56.8513298034668,0.669482231140137,-0.125577077269554,0.830382347106934,3.15,5.3,1.2,65.21,60.64,59.1
Turkiye,Middle East and North Africa,4.61350011825562,29935.89,0.79578173160553,68.6626968383789,0.475323915481567,-0.0770171359181404,0.794897377490997,1.77,3.12,0.48,39.62,74.19,41.9
Ghana,Sub-Saharan Africa,4.60500001907349,5408.59,0.640672087669373,58.7627754211426,0.776914358139038,0.139253854751587,0.880533933639526,2.78,4.37,1.16,46.98,63.08,43.5
Pakistan,South Asia,4.55539989471436,5116.98,0.601332664489746,57.3125,0.765680253505707,0.0078154867514967,0.786621689796448,0.31,0.52,0.095,42.51,60.78,31.6
Niger,Sub-Saharan Africa,4.50129985809326,1201.09,0.59006655216217,56.5499992370606,0.787751495838165,0.0322939865291119,0.733547568321228,0.52,0.89,0.15,,54.6,34.3
Tunisia,Middle East and North Africa,4.49669981002808,10337.85,0.729762375354767,67.0000839233398,0.57649177312851,-0.212603718042374,0.906737387180328,2.04,3.61,0.53,43.69,72.05,32.8
