Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank,Happiness score
Ethiopia,Sub-Saharan Africa,4.090600014,2295.56,0.782480121,60.69827652,0.720276237,0.273315191,0.788651109,2.2,3.66,0.78,49.3,60.91,35,3.898
Gabon,Sub-Saharan Africa,5.034699917,13869.98,0.745508671,58.25178909,0.641774118,-0.187012106,0.786314785,8.08,12.24,3.7,,56.07,38,5.12
Gambia,Sub-Saharan Africa,4.279399872,2096.06,0.584275603,57.90000153,0.596468151,0.364203513,0.882664919,3.36,5.73,1.09,,56.18,35.9,4.423
Ghana,Sub-Saharan Africa,4.605000019,5408.59,0.640672088,58.76277542,0.776914358,0.139253855,0.880533934,2.78,4.37,1.16,46.98,63.08,43.5,4.34
Guinea,Sub-Saharan Africa,5.071700096,2645.17,0.648632944,54.18539429,0.658715367,0.125200689,0.786968648,1.09,1.94,0.36,,48.65,33.7,4.929
Ivory Coast,Sub-Saharan Africa,5.052700043,5304.9,0.572348356,55.95271301,0.73265475,0.002820524,0.74585098,3.04,4.83,1.19,,51.81,41.5,5.102
Kenya,Sub-Saharan Africa,4.486599922,4713.84,0.690004587,58.49850845,0.695590377,0.288115174,0.852420688,2.15,3.51,0.83,60.14,65.21,40.8,4.51
Liberia,Sub-Saharan Africa,4.042300224,1446.28,0.596380234,56.70000076,0.735264957,0.154321343,0.830051303,5.37,8.58,2.2,,48.64,35.3,4.277
Madagascar,Sub-Saharan Africa,4.019100189,1465.88,0.649897635,58.04999924,0.52189213,0.07543768,0.741823196,1.98,3.22,0.77,,54.12,42.6,4.157
Malawi,Sub-Saharan Africa,3.495199919,1482.56,0.530796409,58.47534561,0.750035763,0.005193292,0.748948872,4.08,6.76,1.56,,61.01,44.7,3.26
Mali,Sub-Saharan Africa,4.197800159,2111.53,0.593481123,55.40291977,0.712831855,-0.028211305,0.846023738,1.31,2.26,0.39,,54.47,33,4.345
Mauritania,Sub-Saharan Africa,4.723899841,5382.53,0.643893063,60.47499847,0.622217357,-0.012799613,0.657324195,0,0,0,,56.74,32.6,4.542
Mauritius,Sub-Saharan Africa,5.902299881,21103.64,0.888333261,63.85012436,0.812942684,-0.028224513,0.774905682,4.78,7.67,2,48.88,71.86,36.8,5.832
Mozambique,Sub-Saharan Africa,4.953999996,1231.88,0.69181633,51.5302124,0.851470709,0.046691328,0.660460293,2.69,4.53,1.04,,52.84,54,5.19
Namibia,Sub-Saharan Africa,4.63079977,9142.96,0.78692466,56.8513298,0.669482231,-0.125577077,0.830382347,3.15,5.3,1.2,65.21,60.64,59.1,4.911
Niger,Sub-Saharan Africa,4.501299858,1201.09,0.590066552,56.54999924,0.787751496,0.032293987,0.733547568,0.52,0.89,0.15,,54.6,34.3,4.725
Nigeria,Sub-Saharan Africa,4.98059988,4894.36,0.739812434,54.89082718,0.718404353,0.072849207,0.911167204,6.19,9.84,2.49,64.06,50.12,35.1,4.885
Senegal,Sub-Saharan Africa,4.855100155,3481.74,0.62928611,59.99893188,0.77160722,0.010772932,0.845892131,0.73,1.3,0.22,,64.44,40.3,4.856
Sierra Leone,Sub-Saharan Africa,3.137599945,1626.22,0.555251062,54.89985275,0.66036731,0.10492909,0.857779682,5.31,9.19,1.47,,48.26,35.7,2.998
South Africa,Sub-Saharan Africa,5.274600029,13062.95,0.906631351,56.98897171,0.730076373,-0.086628683,0.902142584,9.45,15.74,3.46,76.86,59.9,63,5.213
Tanzania,Sub-Saharan Africa,3.693799973,2584.82,0.652874768,59.40148544,0.837926626,0.181990027,0.553873181,12.04,19.89,4.36,56,60.07,40.5,3.8
Togo,Sub-Saharan Africa,4.13740015,2150.09,0.595355511,57.44898224,0.657430291,0.024008233,0.739809096,2.66,4.25,1.1,,55.09,43.1,4.315
Uganda,Sub-Saharan Africa,4.432499886,2243.45,0.794043124,58.91272736,0.701275289,0.113736078,0.857214749,12.48,20.61,4.94,56.12,58.49,42.8,4.461
Zambia,Sub-Saharan Africa,3.982199907,3209.44,0.693536043,55.03213882,0.790871441,0.098388903,0.817556739,4.46,7.26,1.79,43.62,57.2,57.1,3.912
Zimbabwe,Sub-Saharan Africa,3.203500032,2081.82,0.689917505,54.04988861,0.654055476,-0.04623023,0.765582323,4.52,7.94,1.62,59.3,55.46,50.3,3.396
Austria,Western Europe,7.097300053,54117.11,0.888435841,71.1500473,0.854737282,0.101604469,0.496774375,11.93,18.42,5.76,25.54,80.23,30.8,6.81
Belgium,Western Europe,6.859099865,51204.72,0.914870977,70.899086,0.825228512,0.001419385,0.548573434,10.8,16.7,5.13,44.58,80.6,27.2,6.91
Cyprus,Western Europe,6.130000114,40587.12,0.826080739,72.80194092,0.723873675,-0.060026571,0.859785974,10.8,16.92,4.76,31.28,79.23,32.7,5.942
Denmark,Western Europe,7.586400032,57651.06,0.954112232,71.25014496,0.933532834,0.134242162,0.195813894,10.13,15.58,4.8,26.22,81.07,28.2,7.521
Finland,Western Europe,7.804200172,48630.7,0.96876961,71.1499939,0.9614079,-0.018824166,0.181744561,10.65,16.56,4.99,27.59,81.19,27.3,7.736
France,Western Europe,6.661300182,44388.47,0.908803761,72.30005646,0.818730354,-0.100289851,0.552618504,12.23,19.21,5.83,51.99,80.46,32.4,6.593
Germany,Western Europe,6.891799927,53029.82,0.895954788,71.29983521,0.845851481,0.030037729,0.419564128,12.79,19.71,6.15,35.79,81.41,31.9,6.753
Greece,Western Europe,5.930900097,29382.53,0.834951401,71.14976501,0.567921817,-0.239567921,0.793221831,10.5,16.72,4.6,45.85,77.43,32.9,5.776
Iceland,Western Europe,7.529600143,53934.77,0.982533097,72.05001831,0.936349213,0.21098654,0.667847812,9.21,14.03,4.39,23.75,82.72,26.1,7.515
Ireland,Western Europe,6.91079998,101454.11,0.905368447,71.29995728,0.874381065,0.091659524,0.357952237,12.75,19.38,6.34,45.51,80.04,31.4,6.889
Italy,Western Europe,6.404500008,41525.02,0.881569505,72.05000305,0.710513592,-0.073542804,0.8417539,8.01,12.74,3.61,44.85,80.9,35.9,6.415
Luxembourg,Western Europe,7.227900028,115838.16,0.87850076,71.67500305,0.91493845,0.023949623,0.344978303,12.45,18.74,6.08,34.13,81.59,35.4,7.122
Malta,Western Europe,6.299900055,42653.55,0.922677517,71.60003662,0.885637522,0.119314983,0.72886616,8.27,12.88,3.69,40.39,80.54,28.7,6.316
Netherlands,Western Europe,7.402999878,56515.99,0.930499315,71.55001831,0.886875093,0.212686151,0.378929287,9.67,14.9,4.54,27.16,82.05,28.1,7.306
Norway,Western Europe,7.315499783,65364.23,0.943476558,71.50002289,0.946616411,0.140636057,0.282744706,7.14,10.8,3.45,33.72,82.98,27.6,7.262
Portugal,Western Europe,5.967999935,33814.76,0.877972424,71.25039673,0.902433217,-0.196075186,0.878076315,12.09,19.51,5.59,29.91,77.44,33.5,6.013
Spain,Western Europe,6.436200142,37808.92,0.931739926,72.34997559,0.782114565,-0.065927997,0.710518539,12.67,19.94,5.76,33.32,79.66,34.7,6.466
Sweden,Western Europe,7.395199776,53253.72,0.939248681,72.15015411,0.947971046,0.164788574,0.202448383,9.04,13.85,4.27,48,82.28,30,7.345
Switzerland,Western Europe,7.240099907,70546.49,0.920439243,72.89995575,0.891074419,0.026686419,0.266347587,11.23,17.18,5.45,21.62,82.11,33.1,6.935
United Kingdom,Western Europe,6.795599937,44544.53,0.882204711,70.30000305,0.852191567,0.253307521,0.454079747,11.45,17.74,5.4,46.07,78.31,35.1,6.728
